date,message,channelusername,url,channeltitle,views,forwards,postauthor,"fwdfrom.from_name"
"Mar 18, 2026 @ 21:25:11.000","Kim Jong Un personally apologized for receiving only 99.93% of the vote in the parliamentary election, losing 0.07%

He said he is deeply hurt and will try his best next time to secure 100% votes,                                                                                                                                   ...                                                                                                                                                                                                                                                                                                  This army has necks like Ethiopian chickens!!",candlesinthenight,"t.me/candlesinthenight/4712751",MJTruth,"-","-","-","-"
"Mar 18, 2026 @ 20:21:19.000","🚨 BREAKING: The greatest Sec. of State Marco Rubio just slapped a $15,000 FEE on a DOZEN more countries when foreigners try to get an American visa, mostly from Africa

A total of 50 COUNTRIES have the fee — discouraging visa fraud that harms Americans

LFG! Thank you Marco! 🇺🇸

The new countries, added to the list of 38: Cambodia, Ethiopia, Georgia, Grenada, Lesotho, Mauritius, Mongolia, Mozambique, Nicaragua, ​Papua New Guinea, Seychelles, and Tunisia

Rubio previously NAILED IT: ""Our visa system - who you allow to visit your country should reflect the national interest! We said that from the very beginning.""

""The law gives us the RIGHT, and in fact I would argue the OBLIGATION, to remove people like that from our country. And we're going to continue to do it. I mean, it's as simple as that!""",WeTheMediaChat2,"t.me/WeTheMediaChat2/1190161","We The Media - Chat","18,333",153,"-","-"
"Mar 18, 2026 @ 15:45:19.000","Abiy Ahmed is zionist and Israel assets in the horn of Africa. 
He is pure evil 😈 
He murdered his own people.  Almost one million people he killed. 
In the tigre region.",ClashReport,"t.me/ClashReport/484863","Clash Report","-","-","-","-"
"Mar 18, 2026 @ 11:17:46.000","Putin, Abiy Discuss Cooperation After Ethiopia Disaster via Phone

Russian President Vladimir Putin & Ethiopian PM Abiy Ahmed held phone call Monday on Russia-Ethiopia cooperation, nuclear energy plans & a deadly landslide in Ethiopia, reinforcing ties after a September 2025 nuclear agreement.

READ MORE",ClashReport,"t.me/ClashReport/76242","Clash Report","13,390",11,"-","-"
"Mar 17, 2026 @ 22:49:29.000","Female ethiopian jew mossad operative captured in Iran",saviolence1,"t.me/saviolence1/46367","South Africa's violence project",140,1,"-","-"
"Mar 17, 2026 @ 21:48:57.000","The UAE are devious scoundrels, they always provide support and not directly, look at Sudan, Yemen, Ethiopia etc",ClashReport,"t.me/ClashReport/482249","Clash Report","-","-","-","-"
"Mar 17, 2026 @ 15:59:15.000","Ethiopia Urges Fuel Cuts Amid Middle East Shock

PM of Ethiopia Abiy Ahmed Ali warned of rising fuel prices due to Middle East war, urging conservation, boosting subsidies & cracking down on illegal trade to stabilize supply in a fully import-dependent market.

READ MORE",ClashReport,"t.me/ClashReport/76100","Clash Report","8,484",17,"-","-"
"Mar 17, 2026 @ 14:17:16.000","The UAE is supplying military equipment to Ethiopia (armored vehicles, flights, logistics), day and night.

Despite Iran’s attacks against the UAE, it continues to dedicate itself to Africa’s destruction, doing everything it can to turn the region into a bloodbath.",BBToday,"t.me/BBToday/91098","بریده‌ها و براده‌ها",720,7,"-","-"
"Mar 17, 2026 @ 12:05:51.000","How supplying weapon to Ethiopia cause distruction?",ClashReport,"t.me/ClashReport/479992","Clash Report","-","-","-","-"
"Mar 17, 2026 @ 10:58:17.000","UAE please mind your business,  don't support killers in Ethiopia",ClashReport,"t.me/ClashReport/479565","Clash Report","-","-","-","-"
"Mar 17, 2026 @ 10:50:43.000","Turks supplying arms to Syria good, UAE supplying arms to Ethiopia bad",ClashReport,"t.me/ClashReport/479511","Clash Report","-","-","-","-"
"Mar 17, 2026 @ 10:27:07.000","The UAE is supplying military equipment to Ethiopia (armored vehicles, flights, logistics), day and night.

Despite Iran’s attacks against the UAE, it continues to dedicate itself to Africa’s destruction, doing everything it can to turn the region into a bloodbath.",ClashReport,"t.me/ClashReport/76056","Clash Report","10,805",108,"-","-"
"Mar 17, 2026 @ 06:06:43.000","Дайджест событий по Африке (17 марта) от Центра народной дипломатии

♦️Очередной саммит Россия - Африка состоится в Москве в октябре 2026 года

♦️РФ и КЕНИЯ обсудили подготовку третьего саммита Россия - Африка

♦️Глава МИД РФ Сергей Лавров: трудовые мигранты из КЕНИИ работают в РФ только на добровольной основе

♦️Россия перенаправила часть нафты в страны АФРИКИ из-за отказа традиционных партнеров от закупок 

♦️В партнерском Русском доме Центра народной дипломатии в ГВИНЕЕ состоялся кинопоказ, посвященный золотому фонду советского кинематографа

♦️ЭФИОПИЯ призывает к экономии топлива на фоне резкого роста цен из-за войны в Иране

♦️В северной НИГЕРИИ активизировались джихадистские группировки

♦️В Конакри состоялся трехсторонний саммит с участием ГВИНЕИ, СЬЕРРА-ЛЕОНЕ и ЛИБЕРИИ, посвященный пограничной ситуации

♦️Лидер МАДАГАСКАРА назначил нового премьер-министра

♦️РУАНДА и ЭФИОПИЯ заключили соглашение о сотрудничестве в сфере обороны",cndmoscow,"t.me/cndmoscow/3071","Центр народной дипломатии",69,0,"-","-"
"Mar 17, 2026 @ 04:46:04.000","🙅 Not their war: Why Gulf states refuse to fight Iran alongside US & Israel

The countries of the Persian Gulf were making efforts to prevent the war against Iran, and this is likely the reason they refused to participate in the conflict, Iraqi political scientist Abd Al-Malik Al-Huseini tells Sputnik.

Another aspect deterring them from protracted wars is the prosperity and stability the societies of these countries enjoy, he adds, especially given that Iran knows very well how to manage long conflicts.

The intelligence information may have leaned the Gulf states towards avoiding the war, but was not the decisive factor, Yemeni political scientist Abd As-Satar Ash-Shamiri argues.

💬 ""These countries, and the Arab states in general, have learned the lesson of war and seen its consequences in nations that have yet to recover from these conflicts, some of which have been going on for over a decade,"" he adds.

The nations of the Gulf also realized the old ""oil for security"" model of relations with the US is no longer viable, as America now has other priorities, so balanced ties with other powers are needed, the expert concludes.

📌Subscribe to @SputnikInt","-","-","Sputnik International Chat","3,477",22,"-","-"
"Mar 16, 2026 @ 21:48:44.000","Why not in afaan oromoo? We Oromo people are half of Ethiopia. If you need any coordination assistance please contact us.","sputnik_africa","t.me/sputnik_africa/183369","Sputnik Africa","-","-","-","-"
"Mar 16, 2026 @ 21:48:44.000","Why not in afaan oromoo? We Oromo people are half of Ethiopia. If you need any coordination assistance please contact us.","-","-","Sputnik Africa | Chat","-","-","-","-"
"Mar 16, 2026 @ 16:05:31.000","🇷🇺🇪🇹📞 On March 16, President of Russia Vladimir Putin and Prime Minister of Ethiopia Abiy Ahmed had a telephone conversation.

The Leaders discussed current issues of bilateral cooperation in the political, trade-economic and humanitarian spheres, in line with the agreements reached during Abiy Ahmed’s visit to Moscow in September 2025. 

They reaffirmed their mutual commitment to further strengthening friendly Russian-Ethiopian relations and agreed to intensify contacts between the relevant ministries and agencies.

Vladimir Putin also expressed condolences over the natural disaster that struck southern Ethiopia last week – a landslide that caused numerous casualties and destruction.

#RussiaEthiopia",MFARussia,"t.me/MFARussia/28716","Russian MFA 🇷🇺","1,325",5,"-","-"
"Mar 16, 2026 @ 14:27:01.000","🇷🇺🇪🇹 Russian President Vladimir Putin and Ethiopian Prime Minister Abiy Ahmed held a phone call on Monday, the Kremlin press service said.

“The sides discussed current issues of bilateral cooperation in the political, trade, economic, and humanitarian spheres in light of agreements reached during Abiy Ahmed’s visit to Moscow in September 2025,” it said.","tassagency_en","t.me/tassagency_en/77249","-",828,1,"-","-"
"Mar 16, 2026 @ 13:47:39.000","🇷🇺🇪🇹 Vladimir Putin had a telephone conversation with Prime Minister of the Federal Democratic Republic of Ethiopia Abiy Ahmed

🔹The leaders discussed a number of current issues pertaining to bilateral cooperation in the political, trade and economic, and humanitarian spheres in line with the agreements reached following Abiy Ahmed's visit to Moscow in September 2025. Both sides reaffirmed their commitment to further strengthening the friendly Russia-Ethiopia relations and intensifying contacts between relevant ministries and agencies.

🔹Vladimir Putin expressed his condolences over the cataclysmic landslides that hit southern Ethiopia last week, resulting in numerous casualties and heavy damage.","news_kremlin_eng","t.me/news_kremlin_eng/7159","Kremlin. News",732,5,"-","-"
"Mar 16, 2026 @ 04:33:56.000","Survivor pulled from mud after 3 days as Ethiopia landslide death toll hits 107
https://www.arabtimesonline.com/news/survivor-pulled-from-mud-after-3-days-as-ethiopia-landslide-death-toll-hits-107/",AzazelNews,"t.me/AzazelNews/971810","Azazel News",134,1,"-","-"
"Mar 16, 2026 @ 03:45:12.000","You mentioned UAE.... 

Egypt, Ethiopia, Iran, and the United Arab Emirates joined the BRICS bloc. That makes the UAE a friend of Iran China and Russia. They should ask their own friends...but MBZ is a back stabbing piece of shit and won't ask 😁",AussieCossack,"t.me/AussieCossack/1443712","🇦🇺AussieCossack🇷🇺","-","-","-","-"
"Mar 16, 2026 @ 02:18:20.000","https://youtu.be/2c3DfT3YrOk",MurderTheMediaComments,"t.me/MurderTheMediaComments/257951","MurderTheMedia chat","-","-","-","-"
"Mar 15, 2026 @ 16:55:24.000","#Tigray

ብዛታቸው 30 የሆኑ የትግራይ ቴሌቪዥን ጋዜጠኞ ስምና ፊርማቸውን አያይዘው መጋቢት 5/2018 ዓ.ም ለጊዚያዊ አስተዳደሩ ፕሬዜዳንት ሌ/ጄነራል ታደሰ ወረደ በፃፉት ደብዳቤ፥ የየካቲት ወር ደመወዛቸው ካልተከፈላቸው ስራ እንደሚያቆሙ አሳውቀዋል።

ወርሃዊ ደመወዛቸው ስላልተከፈላቸው የክልሉ ጤና ባለሙያዎችም ደመወዝ ባለማግኘታቸው ለተለያዩ ኢኮኖሚያዊና ማህበራዊ ችግሮች መጋለጣቸውን በማመልከት ደመወዛቸው በአስቸኳይ እንዲከፈላቸው በማኅበራቸው በኩል ጠይቀዋል።

የትግራይ መምህራን ማህበርም በበኩሉ የየካቲት ወር ደመወዝ በአስቸኳይ እንዲከፈል ጠይቋል። 

በትግራይ 137 ሺህ የሚደርሱ የመንግስት ሰራተኞች አሉ።

ቲህቫህ ኢትዮጵያ
መቐለ
መጋቢት 6 ቀን 2018 ዓ/ም

@tikvahethiopia  ",tikvahethiopia,"t.me/tikvahethiopia/104077","TIKVAH-ETHIOPIA","317,345",45,"-","-"
"Mar 14, 2026 @ 15:08:46.000","As to the Mizrahi Jews, of course there is now a caste system.  The Ashkenazi Jews (who are not Semitic, but Khazarian) are the top caste.  Sephardic next, then Mizrahi, and they don't even accept Ethiopian Jews because ZioNazism is an extremely racist ideology.",presstv,"t.me/presstv/720023","Press TV","-","-","-","-"
"Mar 14, 2026 @ 09:25:12.000",""" ቦርዱ የመደበው የቀን የውሎ አበል የምግብ እና አልጋ እንኳ አይሸፍንም "" - ምርጫ አስፈጻሚዎች

➡ "" በቂ ነው የሚባል ክፍያ ባይሆንም ቦርዱ ባለው በጀት መንቀሳቀስ ስላለብን የተደረገ ነው "" - ቦርዱ

ለሰባተኛው ጠቅላላ ምርጫ አስፈጻሚ የሆኑ አካላት ምርጫ ቦርዱ የመደበላቸው የቀን የውሎ አበል 600 ብር የማይሞላ በመሆኑ እንዲሻሻል ቅሬታቸውን ለቲክቫህ ኢትዮጵያ እያቀረቡ ናቸው።

የተመደበውን አበል የኑሮ ውድነቱን ""ያላገናዘበ"" እና መንግስት ካጸደቀው ዝቅተኛ የውሎ አበል ""ያነሰ"" መሆኑን ገልጸው፣ የክፍያው ማነስ ምርጫ በማስፈጸም ስራው ላይ በደል እንዳያስከትል አስጠንቅቀዋል።

"" ቦርዱ የመደበው የቀን የውሎ አበል የምግብ እና አልጋ እንኳ አይሸፍንም "" ብለው ቦርዱ ለዚህ ማሻሻያ ካላደረገ ግን "" ህጋዊ አማራጮችን ለመጠቀም "" እንደሚገደዱ ገልጸዋል።

ቲክቫህ ኢትዮጵያ ቅሬታውን ይዞ፣ አበሉ ለምን የኑሮ ውድነቱን ታሳቢ ተደርጎ አልተመደበም ? ለምን መንግስት ካጸደቀው የውሎ አበል መጠን ያነሰ ሆነ ? የአበሉ ማነስ በስራው ላይ በደል አያስከትልም ? ሲል ምርጫ ቦርድን ጠይቋል።

የቦርዱ ዋና ሰብሳቢ ወ/ሮ ሜላትወርቅ ሀይሉ ምን መለሱ ?

"" በስድስተኛው ሀገራዊ ምርጫ ሲከፈል የነበረው በጣም ዝቅተኛ ነው። አሁን ግን የኑሮው ሁኔታም ስለጨመረ በእጥፍ ነው ክፍያው የጨመረው ለምርጫ ጣቢያ እና ምርጫ ክልል አስፈጻሚዎች።

የተነሳው ጥያቄ፣ አንድ የመንግስት ሠራተኛ ከአንድ ወደ ሌላ ቦታ ሲሄድ የሚከፈለው አበል ጋር የተወዳደረ ነው። ግን የምርጫ አስፈጻሚዎች ይኖራሉ፣ ምርጫ  ያስፈጽማሉ የሚባለው በሚኖሩበት አካባቢ ነው። ስለዚህ አበሉም የመንግስት ሠራተኞች እንደሚከፈላቸው አይነት ሳይሆን በአካባቢያቸው ለሚሰሩት ስራ ነው።

ኑሮው ውድ ነው፤ ግን ቦርዱ ደግሞ ከፍተኛ በጀት የሚጠይቅበት ሁኔታ ነው የተፈጠረው። ምክንያቱም ወደ አራት፣ አራት ምርጫ አስፈጻሚ ናቸው በየምርጫ ጣቢያው ያሉት። የድምጽ መስጫው ቀን ደግሞ ወደ ስድስት፣ ሰባት ቁጥራቸው ይጨምራል። 

ስለዚህ የሚከፈለው መጠን በሀገር ደረጃ ሲታይ በጣም ከፍተኛ ነው። ነገር ግን ቅሬታዎች በቀጥታ ለቦርዱ ቀርበዋል። በስልጠና ወቅቶች ተነስተዋል። ቦርዱ ይህን የሚመለከትበት ሁኔታ ካለ የሚያየው ይሆናል።

ቦርዱ አስፈፃሚዎች ገንዘብ አልተከፈለንም ብለው ሥራውን ያስተጓጉሉ የሚል እምነት የለውም። ለሚሰሩት አድካሚ እና ጊዜ የሚወስድ ስራ በቂ ነው የሚባል ክፍያ ባይሆንም በአቅም ደረጃ ቦርዱ ባለው በጀት መንቀሳቀስ ስላለብን የተደረገ ነው "" ብለዋል።

ቲክቫህ ኢትዮጵያ
አዲስ አበባ
#TikvahEthiopiaFamilyAA

@tikvahethiopia",tikvahethiopia,"t.me/tikvahethiopia/104047","TIKVAH-ETHIOPIA","316,848",340,"-","-"
"Mar 13, 2026 @ 22:13:06.000","Tigray Genocide was funded by UAE...you can look Ethiopian pm relationship with UAE...guess what...ethiopia is seeking port in red sea...which ""happened"" to be at bab el mandab...called Asab",presstv,"t.me/presstv/718252","Press TV","-","-","-","-"
"Mar 13, 2026 @ 19:43:12.000",""" መራጮች ተመዝግበው ሲወጡ ካርዳቸውን ፎቶግራፍ ሲያነሱ የተገኙ ... ምርጫ አስፈጻሚዎችን 'የመራጮች ቁጥር ንገሩን'፤ 'ምሳ እንጋብዛችሁ'"" የሚሉ አካላት ተገኝተዋል "" - ምርጫ ቦርድ

➡️ "" እጩ ሆነው የተመዘገቡ የምርጫ አስፈጻሚዎች ተገኝተዋል! ""

የኢትዮጵያ ብሔራዊ ምርጫ ቦርድ ግንቦት 24 ቀን 2018 ዓ/ም ይካሄዳል ተብሎ ለሚጠበቀው 7ኛው ዙር ጠቅላላ ምርጫ፣ በቅርቡ ያስጀመረውን የመራጮች ምዝገባ በተመለከተ ዛሬ ምሽት መግለጫ ሰጥቷል።

በዚህም፣ ምዝገባ ይጀመርባቸዋል ተብለው ከሚጠበቁት 52 ሺሕ 773 ምርጫ ጣቢያዎች 46 ሺሕ 757 ምርጫ ላይ ቁሳቁስ ተሰራጭቶ የመራጮች ምዝገባ እየተካሄደ መሆኑን ገልጸዋል።

ይሁን እንጂ፣ 6 ሺሕ 395 ሥራ ያልጀመሩ ጣቢያዎች እንዳሉ በጥቀስ ያልጀመሩበት ምክንያት ""የጸጥታ ችግር"" እና የቁሳቁስ ገና በጉዞ ላይ መሆኑን ጠቅሰዋል።

እንዲሁም፣ እስካሁን ባለው መረጃ 9 ሚሊዮን 36 ሺሕ 994 መራጮች መመዝገባቸውን ገልጸዋል።

በተያያያዘ፣ ቦርዱ ወደ ክልል የምርጫ ቁሳቁሶችን ወደ ክልል ካደረሰ በኋላ ከክልል ወደ ምርጫ ጣቢያዎች ለማድረግ የነዳጅና የትራንስፖርት ችግር አሁንም እንዳልተቀረፈ አስረድተዋል።

እንዲሁም ""በዝናብ የተበላሹ ቁሳቁሶች አሉ"" ያሉት ወ/ሮ ሜላትወርቅ፣ በአፋር ክልል ዳሉል ምርጫ ጣቢያ የምርጫ ቁሳቁሶች በመቃጠላቸው ቦርዱ እንደገና ለመላክ መገደዱን ተናግረዋል።

በሌላ በኩል፣ ከሲስተም አቅም ጋር በተያያዘ፣ መራጮች ለመመዝገብ ምርጫ  ጣቢያ ሄደው እየተጉላሉ መሆኑን ቦርዱ መገንዘቡን ገልጸው፣ ችግሩን ለመቅረፍ እየተሰራ መሆኑን ተናግረዋል።

እንዲሁም፣ "" አንዳንድ ቦታዎች ላይ የኢንተርኔት ኔቶርክ ችግር ገጥሞናል "" ያሉ ሲሆን፣ ይህንን ለመቅረፍ ከኢትዮ ቴሌኮም ጋር እየተሰራ መሆኑን ገልዋል።

ከምርጫ ጣቢያዎች ጋር በተያያዘ፣ "" ቆርቆሮ በቆርቆሮ "" የሆኑ፣ ለአካል ጉዳተኞች የማይመች ""ደረጃ"" ያላቸው የተሰጧቸው ምርጫ ጣቢያዎች እንዳሉ ዋና ሰብሳቢዋ ተናግረዋል።

በተያያዘ ከ187 ሺ በላይ የምርጫ አስፈጻሚዎች ወደ ክልሎች መላካቸው ተጠቁመው፣ ""እጩ ሆነው እንደ ምርጫ አስፈጻሚ የተመዘገቡ አሉ። እጩ ሆነው የተመዘገቡ የምርጫ አስፈጻሚዎች ተገኝተዋል"" ብለው እርምጃ እንደተወሰደባቸው ተናግረዋል።

መራጮች ተመዝግበው ሲወጡ ካርዳቸውን ፎቶግራፍ ሲያነሱ የተገኙ ... ምርጫ አስፈጻሚዎችን "" የመራጮች ቁጥር ንገሩን፣ ምሳ እንጋብዛችሁ "" የሚሉ አካላት መገኘታቸውን ገልጸዋል።

ቲክቫህ ኢትዮጵያ
አዲስ አበባ
#TikvahEthiopiaFamilyAA

@tikvahethiopia",tikvahethiopia,"t.me/tikvahethiopia/104018","TIKVAH-ETHIOPIA","265,536",230,"-","-"
